fpl,understat,fpl_2024-25,opta_id
Diogo Teixeira da Silva,Diogo Jota,317.0,194634
Ismaïla Sarr,Ismaila Sarr,585.0,232185
Destiny Udogie,Iyenoma Destiny Udogie,505.0,487053
Carlos Henrique Casimiro,Casemiro,368.0,61256
Martin Ødegaard,Martin Odegaard,13.0,184029
Fábio Freitas Gouveia Carvalho,Fabio Carvalho,314.0,244858
Norberto Bercique Gomes Betuncal,Beto,218.0,486385
Emiliano Martínez Romero,Emiliano Martinez,47.0,98980
Saša Lukić,Sasa Lukic,249.0,212314
Joško Gvardiol,Josko Gvardiol,350.0,477424
Emile Smith Rowe,Emile Smith-Rowe,19.0,209289
Son Heung-min,Son Heung-Min,503.0,85971
Hamed Traorè,Hamed Junior Traore,67.0,424044
Roméo Lavia,Romeo Lavia,174.0,514356
Radu Drăgușin,Radu Dragusin,486.0,493125
Vladimír Coufal,Vladimir Coufal,516.0,164555
Tino Livramento,Valentino Livramento,409.0,441191
Lucas Tolentino Coelho de Lima,Lucas Paquetá,527.0,224024
Hwang Hee-chan,Hee-Chan Hwang,550.0,184754
Jorge Luiz Frello Filho,Jorginho,7.0,85955
Fábio Silva,Fabio Silva,545.0,449988
Łukasz Fabiański,Lukasz Fabianski,521.0,37096
Boubakary Soumaré,Boubakary Soumare,285.0,225902
Joe Ayodele-Aribo,Joe Ayodele-Aribo,452.0,193204
Yehor Yarmoliuk,Yehor Yarmolyuk,111.0,508395
Lesley Ugochukwu,Chimuanya Ugochukwu,188.0,503714
Jesper Lindstrøm,Jesper Lindstrom,577.0,463903
Will Smallbone,William Smallbone,471.0,214466
Felipe Rodrigues da Silva,Morato,653.0,485047
Matty Cash,Matthew Cash,32.0,199796
João Pedro Ferreira Silva,Jota Silva,596.0,510500
Jaden Philogene,Jaden Philogene-Bidace,569.0,481624
Ibrahim Sangaré,Ibrahim Sangare,442.0,210462
Sam Szmodics,Sammie Szmodics,611.0,172453
Saša Kalajdžić,Sasa Kalajdzic,555.0,429414
Adama Traoré Diarra,Adama Traoré,239.0,159533
Andreas Pereira,Andreas Pereira,240.0,156689
Benjamin Chilwell,Ben Chilwell,160.0,172850
Ben White,Ben White,24.0,198869
Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva,342.0,165809
Bobby Reid,Bobby Reid,290.0,96994
Bobby Decordova-Reid,Bobby Reid,290.0,96994
Bruno Miguel Borges Fernandes,Bruno Fernandes,366.0,141746
Carlos Alcaraz,Carlos Alcaraz,450.0,502697
José Diogo Dalot Teixeira,Diogo Dalot,369.0,216051
Diogo Jota,Diogo Jota,317.0,194634
Dominic Solanke,Dominic Solanke,82.0,154566
Edward Nketiah,Eddie Nketiah,11.0,205533
Emiliano Martínez,Emiliano Martinez,47.0,98980
Fabio Carvalho,Fabio Carvalho,314.0,244858
Gabriel Magalhães,Gabriel,3.0,226597
Gabriel Teodoro Martinelli Silva,Gabriel Martinelli,9.0,444145
Hee-Chan Hwang,Hee-Chan Hwang,550.0,184754
Jeremy Sarmiento,Jeremy Sarmiento,141.0,441192
Joseph Willock,Joe Willock,420.0,200089
Joseph Gomez,Joseph Gomez,322.0,171287
Pelenda Joshua Dasilva,Josh Dasilva,90.0,183656
Kaoru Mitoma,Kaoru Mitoma,136.0,451340
Luis Sinisterra Lucumí,Luis Sinisterra,80.0,224995
Lukasz Fabianski,Lukasz Fabianski,521.0,37096
Marc Cucurella,Marc Cucurella,163.0,179268
Matthew Cash,Matthew Cash,32.0,199796
Miguel Almirón,Miguel Almirón,391.0,179018
Moisés Caicedo,Moisés Caicedo,157.0,486672
Olu Aina,Ola Aina,422.0,159506
Rayan Ait Nouri,Rayan Ait Nouri,533.0,448514
Rodrigo Hernandez,Rodri,360.0,220566
Rúben Santos Gato Alves Dias,Rúben Dias,361.0,171314
Solomon March,Solly March,132.0,109345
Heung-Min Son,Son Heung-Min,503.0,85971
Takehiro Tomiyasu,Takehiro Tomiyasu,22.0,223723
Wataru Endo,Wataru Endo,320.0,158983
William Smallbone,William Smallbone,471.0,214466
Yegor Yarmolyuk,Yehor Yarmolyuk,111.0,508395
Yegor Yarmoliuk,Yehor Yarmolyuk,111.0,508395
Alexandre Moreno Lopera,Álex Moreno,26.0,106468
Maximillian Aarons,Max Aarons,59.0,232980
Jefferson Lerma,Jefferson Lerma,206.0,152551
Emiliano Buendía,Emiliano Buendía,31.0,195546
Ben Brereton,Ben Brereton Díaz,584.0,204814
Alejandro Garnacho Ferreyra,Alejandro Garnacho,372.0,493105
Emiliano Martinez,Emiliano Martinez,47.0,98980
Jaden Philogene-Bidace,Jaden Philogene-Bidace,569.0,481624
Fabio Silva,Fabio Silva,545.0,449988
Mateo Kovacic,Mateo Kovacic,354.0,91651
Radu Dragusin,Radu Dragusin,486.0,493125
Romeo Lavia,Romeo Lavia,174.0,514356
Sasa Kalajdzic,Sasa Kalajdzic,555.0,429414
Sasa Lukic,Sasa Lukic,249.0,212314
Seamus Coleman,Seamus Coleman,221.0,59949
Tomas Soucek,Tomas Soucek,530.0,215439
Vladimir Coufal,Vladimir Coufal,516.0,164555
Ismaila Sarr,Ismaila Sarr,585.0,232185
