player_game_id,player_name,game_id,team_name,minutes,shots,goals,key_passes,assists,xG,xA,understat_game_id,date,away
108191,Emerson,3855,West Ham,47,1,0,0,0,0.03,0.0,26656,2024-09-28,West Ham
108192,Guido Rodríguez,3855,West Ham,90,1,0,1,0,0.01,0.03,26656,2024-09-28,West Ham
108193,Jarrod Bowen,3855,West Ham,90,3,0,3,0,0.14,0.13,26656,2024-09-28,West Ham
108194,Lucas Paquetá,3855,West Ham,77,1,0,2,0,0.01,0.08,26656,2024-09-28,West Ham
108195,Tomas Soucek,3855,West Ham,90,1,1,4,0,0.12,0.22,26656,2024-09-28,West Ham
108196,Mohammed Kudus,3855,West Ham,47,3,0,0,0,0.17,0.0,26656,2024-09-28,West Ham
108197,Michail Antonio,3855,West Ham,76,3,0,1,1,0.13,0.12,26656,2024-09-28,West Ham
108198,Konstantinos Mavropanos,3855,West Ham,43,1,0,0,0,0.02,0.0,26656,2024-09-28,West Ham
108199,Crysencio Summerville,3855,West Ham,13,1,0,0,0,0.05,0.0,26656,2024-09-28,West Ham
108200,Carlos Soler,3855,West Ham,43,1,0,1,0,0.08,0.05,26656,2024-09-28,West Ham
108201,Danny Ings,3855,West Ham,14,0,0,0,0,0.0,0.0,26656,2024-09-28,West Ham
108202,Andy Irving,3855,West Ham,1,0,0,0,0,0.0,0.0,26656,2024-09-28,West Ham
108203,Robert Sánchez,3856,Chelsea,90,0,0,0,0,0.0,0.0,26657,2024-09-28,Brighton
108204,Malo Gusto,3856,Chelsea,90,0,0,0,0,0.0,0.0,26657,2024-09-28,Brighton
108205,Wesley Fofana,3856,Chelsea,90,0,0,0,0,0.0,0.0,26657,2024-09-28,Brighton
108206,Levi Colwill,3856,Chelsea,90,0,0,0,0,0.0,0.0,26657,2024-09-28,Brighton
108207,Marc Cucurella,3856,Chelsea,78,0,0,1,0,0.0,0.08,26657,2024-09-28,Brighton
108208,Enzo Fernández,3856,Chelsea,87,0,0,1,0,0.0,0.3,26657,2024-09-28,Brighton
108209,Moisés Caicedo,3856,Chelsea,90,0,0,2,0,0.0,0.49,26657,2024-09-28,Brighton
108210,Noni Madueke,3856,Chelsea,71,1,0,0,0,0.13,0.0,26657,2024-09-28,Brighton
108211,Cole Palmer,3856,Chelsea,90,7,4,4,0,1.99,1.28,26657,2024-09-28,Brighton
108212,Jadon Sancho,3856,Chelsea,79,1,0,1,1,0.1,0.14,26657,2024-09-28,Brighton
108213,Nicolas Jackson,3856,Chelsea,87,5,0,1,1,1.36,0.35,26657,2024-09-28,Brighton
108214,Romeo Lavia,3856,Chelsea,3,0,0,0,0,0.0,0.0,26657,2024-09-28,Brighton
108215,Christopher Nkunku,3856,Chelsea,3,0,0,1,0,0.0,0.07,26657,2024-09-28,Brighton
108216,Renato Veiga,3856,Chelsea,12,0,0,0,0,0.0,0.0,26657,2024-09-28,Brighton
108217,Pedro Neto,3856,Chelsea,19,1,0,1,0,0.07,0.13,26657,2024-09-28,Brighton
108218,Mykhailo Mudryk,3856,Chelsea,11,0,0,0,0,0.0,0.0,26657,2024-09-28,Brighton
108219,Bart Verbruggen,3856,Brighton,90,0,0,0,0,0.0,0.0,26657,2024-09-28,Brighton
108220,Ferdi Kadioglu,3856,Brighton,79,0,0,1,0,0.0,0.01,26657,2024-09-28,Brighton
108221,Lewis Dunk,3856,Brighton,90,0,0,0,0,0.0,0.0,26657,2024-09-28,Brighton
108222,Adam Webster,3856,Brighton,65,0,0,0,0,0.0,0.0,26657,2024-09-28,Brighton
108223,Estupiñán,3856,Brighton,90,0,0,0,0,0.0,0.0,26657,2024-09-28,Brighton
108224,Carlos Baleba,3856,Brighton,90,3,1,1,1,0.38,0.03,26657,2024-09-28,Brighton
108225,Mats Wieffer,3856,Brighton,65,0,0,1,0,0.0,0.02,26657,2024-09-28,Brighton
108226,Jack Hinshelwood,3856,Brighton,90,0,0,1,0,0.0,0.03,26657,2024-09-28,Brighton
108227,Georginio Rutter,3856,Brighton,79,3,1,1,0,0.15,0.31,26657,2024-09-28,Brighton
108228,Danny Welbeck,3856,Brighton,89,3,0,1,0,0.42,0.06,26657,2024-09-28,Brighton
108229,Kaoru Mitoma,3856,Brighton,90,2,0,2,0,0.04,0.17,26657,2024-09-28,Brighton
108230,Yankuba Minteh,3856,Brighton,11,1,0,0,0,0.11,0.0,26657,2024-09-28,Brighton
108231,Evan Ferguson,3856,Brighton,1,0,0,0,0,0.0,0.0,26657,2024-09-28,Brighton
108232,Julio Enciso,3856,Brighton,11,2,0,0,0,0.07,0.0,26657,2024-09-28,Brighton
108233,Yasin Ayari,3856,Brighton,25,1,0,0,0,0.05,0.0,26657,2024-09-28,Brighton
108234,Igor Julio,3856,Brighton,25,0,0,0,0,0.0,0.0,26657,2024-09-28,Brighton
108235,Sam Johnstone,3857,Wolverhampton Wanderers,90,0,0,0,0,0.0,0.0,26658,2024-09-28,Liverpool
108236,Nélson Semedo,3857,Wolverhampton Wanderers,90,1,0,1,0,0.01,0.02,26658,2024-09-28,Liverpool
108237,Toti,3857,Wolverhampton Wanderers,90,0,0,0,0,0.0,0.0,26658,2024-09-28,Liverpool
108238,Santiago Bueno,3857,Wolverhampton Wanderers,81,0,0,0,0,0.0,0.0,26658,2024-09-28,Liverpool
108239,Rayan Ait Nouri,3857,Wolverhampton Wanderers,90,1,1,2,0,0.49,0.06,26658,2024-09-28,Liverpool
108240,André,3857,Wolverhampton Wanderers,90,0,0,0,0,0.0,0.0,26658,2024-09-28,Liverpool
