season,gw,fpl_element,local_understat_id,local_understat_fixture,fpl_name,understat_name,position,fpl_team,understat_team,opponent_fpl_team_number,fpl_kickoff_time,understat_date,value,points,minutes,goals_scored,xG,goals_conceded,assists,xA,yellow_cards,red_cards,clean_sheets,key_passes,own_goals,penalties_missed,penalties_saved,saves,bonus,team_a_score,team_h_score,was_home,expected_assists,expected_goals
2024-25,16,48,111358.0,3959.0,John McGinn,John McGinn,3,27,Aston Villa,32,2024-12-14T17:30:00Z,2024-12-14,52,6,90,0,0.04,2,1,0.19,0,0,0,4.0,0,0,0,0,1,1,2,False,0.37,0.05
2024-25,17,48,111371.0,3960.0,John McGinn,John McGinn,3,27,Aston Villa,10,2024-12-21T12:30:00Z,2024-12-21,52,4,90,0,0.0,1,1,0.38,1,0,0,4.0,0,0,0,0,0,1,2,True,0.22,0.0
2024-25,18,48,111864.0,3976.0,John McGinn,John McGinn,3,27,Aston Villa,23,2024-12-26T15:00:00Z,2024-12-26,52,2,79,0,0.0,2,0,0.0,0,0,0,0.0,0,0,0,0,0,0,3,False,0.01,0.0
2024-25,19,48,111979.0,3980.0,John McGinn,John McGinn,3,27,Aston Villa,21,2024-12-30T19:45:00Z,2024-12-30,52,2,90,0,0.0,2,0,0.07,0,0,0,1.0,0,0,0,0,0,2,2,True,0.07,0.0
2024-25,20,48,112316.0,3991.0,John McGinn,John McGinn,3,27,Aston Villa,8,2025-01-04T15:00:00Z,2025-01-04,52,1,18,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,2,True,0.03,0.0
2024-25,21,48,,,John McGinn,John McGinn,3,27,,6,2025-01-15T19:30:00Z,,52,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,0,False,0.0,0.0
2024-25,22,48,,,John McGinn,John McGinn,3,27,,1,2025-01-18T17:30:00Z,,52,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,2,2,False,0.0,0.0
2024-25,6,386,108212.0,3856.0,Jadon Sancho,Jadon Sancho,3,4,Chelsea,21,2024-09-28T14:00:00Z,2024-09-28,63,9,70,0,0.1,2,2,0.14,0,0,0,1.0,0,0,0,0,1,2,4,True,0.22,0.08
2024-25,7,386,108552.0,3867.0,Jadon Sancho,Jadon Sancho,3,4,Chelsea,32,2024-10-06T13:00:00Z,2024-10-06,64,2,89,0,0.0,1,0,0.2,0,0,0,3.0,0,0,0,0,0,1,1,True,0.26,0.0
2024-25,8,386,108901.0,3878.0,Jadon Sancho,Jadon Sancho,3,4,Chelsea,9,2024-10-20T15:30:00Z,2024-10-20,64,1,45,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,0,0,1,2,False,0.03,0.0
2024-25,9,386,,,Jadon Sancho,Jadon Sancho,3,4,,23,2024-10-27T14:00:00Z,,64,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,2,True,0.0,0.0
2024-25,10,386,,,Jadon Sancho,Jadon Sancho,3,4,,11,2024-11-03T16:30:00Z,,63,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,1,False,0.0,0.0
2024-25,11,386,,,Jadon Sancho,Jadon Sancho,3,4,,1,2024-11-10T16:30:00Z,,63,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,1,True,0.0,0.0
2024-25,12,386,110114.0,3918.0,Jadon Sancho,Jadon Sancho,3,4,Chelsea,8,2024-11-23T12:30:00Z,2024-11-23,63,1,5,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,0,0,2,1,False,0.0,0.0
2024-25,13,386,110245.0,3923.0,Jadon Sancho,Jadon Sancho,3,4,Chelsea,27,2024-12-01T13:30:00Z,2024-12-01,62,3,70,0,0.15,0,0,0.0,0,0,1,0.0,0,0,0,0,0,0,3,True,0.08,0.04
2024-25,14,386,110789.0,3940.0,Jadon Sancho,Jadon Sancho,3,4,Chelsea,13,2024-12-04T19:30:00Z,2024-12-04,62,6,18,1,0.12,0,0,0.0,0,0,0,0.0,0,0,0,0,0,5,1,False,0.03,0.13
2024-25,15,386,110907.0,3944.0,Jadon Sancho,Jadon Sancho,3,4,Chelsea,17,2024-12-08T16:30:00Z,2024-12-08,62,8,90,1,0.3,3,0,0.05,0,0,0,2.0,0,0,0,0,1,4,3,False,0.22,0.39
2024-25,16,386,111224.0,3955.0,Jadon Sancho,Jadon Sancho,3,4,Chelsea,31,2024-12-15T19:00:00Z,2024-12-15,62,2,90,0,0.06,1,0,0.73,0,0,0,4.0,0,0,0,0,0,1,2,True,0.56,0.03
2024-25,17,386,111445.0,3962.0,Jadon Sancho,Jadon Sancho,3,4,Chelsea,6,2024-12-22T14:00:00Z,2024-12-22,62,3,90,0,0.06,0,0,0.03,0,0,1,1.0,0,0,0,0,0,0,0,False,0.03,0.09
2024-25,18,386,111764.0,3973.0,Jadon Sancho,Jadon Sancho,3,4,Chelsea,25,2024-12-26T15:00:00Z,2024-12-26,62,2,90,0,0.31,2,0,0.0,0,0,0,0.0,0,0,0,0,0,2,1,True,0.08,0.22
