id,player_name,game_id,team_name,minutes,shots,goals,key_passes,assists,xG,xA
113497,William Saliba,4031,Arsenal,90,0,0,0,0,0.00,0.00
113498,Myles Lewis-Skelly,4031,Arsenal,90,1,1,0,0,0.09,0.00
113499,Thomas Partey,4031,Arsenal,90,1,1,1,0,0.04,0.09
113500,Martin Odegaard,4031,Arsenal,85,2,1,0,0,0.45,0.00
113501,Declan Rice,4031,Arsenal,90,0,0,4,2,0.00,0.70
113502,Gabriel Martinelli,4031,Arsenal,90,1,0,2,1,0.15,0.15
113503,Kai Havertz,4031,Arsenal,90,4,1,1,1,0.65,0.43
113504,Leandro Trossard,4031,Arsenal,85,0,0,0,0,0.00,0.00
113505,Riccardo Calafiori,4031,Arsenal,1,0,0,0,0,0.00,0.00
113506,Mikel Merino,4031,Arsenal,5,0,0,0,0,0.00,0.00
113507,Raheem Sterling,4031,Arsenal,1,0,0,0,0,0.00,0.00
113508,Ethan Nwaneri,4031,Arsenal,5,1,1,1,0,0.05,0.02
113509,Stefan Ortega Moreno,4031,Manchester City,90,0,0,0,0,0.00,0.00
113510,Matheus Nunes,4031,Manchester City,90,0,0,0,0,0.00,0.00
113511,Manuel Akanji,4031,Manchester City,90,1,0,0,0,0.07,0.00
113512,John Stones,4031,Manchester City,90,0,0,0,0,0.00,0.00
113513,Josko Gvardiol,4031,Manchester City,90,1,0,0,0,0.07,0.00
113514,Mateo Kovacic,4031,Manchester City,90,1,0,0,0,0.04,0.00
113515,Bernardo Silva,4031,Manchester City,90,0,0,0,0,0.00,0.00
113516,Phil Foden,4031,Manchester City,73,0,0,0,0,0.00,0.00
113517,Omar Marmoush,4031,Manchester City,73,1,0,3,0,0.02,0.20
113518,Sávio,4031,Manchester City,90,2,0,2,1,0.10,0.45
113519,Erling Haaland,4031,Manchester City,90,1,1,0,0,0.43,0.00
113520,Kevin De Bruyne,4031,Manchester City,17,0,0,0,0,0.00,0.00
113521,James McAtee,4031,Manchester City,17,0,0,0,0,0.00,0.00
113522,Hákon Valdimarsson,4032,Brentford,90,0,0,0,0,0.00,0.00
